puzzle,difficulty
.95......2...1...44.......31...4.6.5...6357..7..8.......93..8......6......1...9.6,1
.5..63....9....8.......2.1.4....1.2..3..........3....77.2...4....39.5...5...8.26.,1
...1...28682....5......3.....8..2..9..1...3......4....5.4..8...2.9..4.6..1...5.42,1
....8....5..74.9..7......4326.3.5..7...2...........1....49.2.751.3..4....2.......,1
.2....39.49..76......2.1...3....7...9....4..3.68...91.........9.4..6.7.....4.35..,1
..1..........1.46.625.3.7...48...5.7.6...9.2.3...2....7.......9...8....5.5...2..6,1
...4.3.7......2..1...1..86.3.6..9.....7..4.5........327.....1.6.9...6...2...8...5,1
...9......3...8.6..724...835......36...........78.4..1..8.7..........3....12..95.,1
..3...9.....6.8..3682.9.1..57.....2...9.....7.6...1.5.8..2.....1.....79..9.4....6,1
....8....9..5...748..7.....4..6..9.....8..51....1....7..7..1...3..2..1...14.36...,1
72..........2.3.1.8...9..6..1............9.2.6.438...7.....54...478....92..6.....,1
....321....8......2.5..896.........38.1..9.56.6.5....1....9.7....3784........5...,1
2....6....9..52..7..6...3...8..6..31.2.91...8......27.8.....4..4..1.....76..2...5,1
......4..8.74..1..3....8...........51...9...2..2...34..4.71..939........26.....14,1
..47..1.2...........5.2..39.1654...73..1...6.4........12.6.........72.9..8...3...,1
9..7.....83...1....2.59...8...1.58.94.1..8.5....4.....2.....7.......96..1..8.2..5,1
1..2.8..7....7...8.5....9.64........5.......2...36.18..........9..18..3..7..35...,1
27..9....9....8173.5....6..721..9........35......4.........5......4.2.81.9.18..6.,1
..3....2......2.5458.9......7.4.1...6.....3.....2.........8..3974......1.5..1....,1
.......87.2.9....537....4...36......1976.42..4.......8.1......92..1958.....2.....,1
........3...1......3.5.74.....4...7..6.27.1..1.....8.9..9...3.4.78..4.96.5.....8.,1
...7..82.1.............1..5.3..29....9.56..4.....4......2...46.7...9..5.36...2..7,1
8..4.....9..7.1..4..6.....9.2....48.....56.........9...57.....21...3....6...2...7,1
....67..2..4....86.7........18.........2...3.96.7.4...43........826..4..1...8.5..,1
.9.6..1.8....8.9....37...6.5...3.....61.5...7.......42.2...1...1....7..4......8..,1
.7....2.3...9....6....53.......198..73.......4.13..5....61.2.4..9...81....8......,1
..3..4189...61.........9....1.4.52.33.....96......8..1..7....5....7.....2.83...9.,1
.7...8.....4.31..7..3..41.6....4.56.....8.4.........12128......9......7.5...2.3..,1
.8..36....4....9....7.....587.6...1.6.......9.9.2.....9...41....2.8....65.....7.4,1
1.7....5.5...429...........48..7...1..5.9..2.....3..4..7...951.8.....6...1...8..9,1
.....193.......1.....4.8..7..2.39..59.......24.8......1......7..8.79.2....9.52.6.,1
857....34...7.8....3...4....8..42.......6.5..9...1..23......2453.29...7..........,1
8.5.4.......82....9....3.5.........45.7.8...24..9....6...4....3.4.7.8.2..3....9.7,1
..2...53.........6....58...8.......5395..2....4....72........4.9861........7.9.81,1
..2..6..3.6..13.59..79.2....7.....9..956...1...12.8.3.....7..8.......6.....3....5,1
.8....4.2...6.2...9...1...36...........9.715......5.3.........68.459....29......8,1
2..8.1..41.75.......4....2.96.3.......8.....1....4.683....7.546....1.........53..,1
.5..4..6...679....7....8.......65.8.9..............2.13.....85..6..1...4.7.4.9...,1
.2......3....4.8...4.5.7.2..1.9.....8..7...5..6..1..8.93......76...9..........2.6,1
..8.7....2..5......43...6....4..1..81...9..3...9.83..69.5..........6.82..3.2.....,1
..1......8....1....57.....64.81..76.3......9.6..42.3......389.......5....8.69..7.,1
.9........23...8....8.971..28.....65...7.6.......4..3....9..4...1.....98..24...7.,1
.....5.7926.7.......8......31.47..9.......7...9.8..1......8.4.2...19..5..7...2...,1
..1....6....5..91.7.....2..4..2.8..381.......6.7....5....6..4.22..93.....8.1.....,1
.......1..894.17..4...7.2.3........454...9...9....2...7..3..5.62.65.........1....,1
3.1.6.....6......5..9......683..5.4.....8497...........2....7.8.5..18..2.......9.,1
...1.6..5.31..4...4...8..7....6....8......6...58...42......591..82.9....1.....7.2,1
4..8.7......6...7576.49..2..2.5.....64..8.2..1.3.6..5....3.....9......1....7..6..,1
6.......8.32....1.....5..42.8..7....5193.........2.........46......97..53..6...94,1
....3.5.7.....219......8.631....6...5.31........289....58.1..4.......93.2.7......,1
.9.5..8......6..171....9.34.6..8......1..2...2..15....51....4.8.3.....76..8.....3,1
...3.184............2..5..33..1.9....4.....6..78....51.9......41..7.8......5..78.,1
.7....1.53..61..........3.6..6.4.28.25...6....1..37...1...8......85....3.........,1
...2.6...7.49..2.6..9.........675..1......76..3....9...83...57......46......2...9,1
..1........861...4592..48.1..92........459..7...7..5.3.6...8.2....9...........3..,1
.6..8.7....1.2.4.........6..5.8..1......4........5.8.963....5..2..7....8.97..1..3,1
.5..27.8....38...4..29..........1.7621.4......7...51.9.........13.......4.5.....1,1
7.....4...8.6..9...1.4....8.........2..96..3.....13.67..5.9.....4.....7.139.7....,1
